51,Milan Lucic,BOS,L,17,7,7,14,+10,14,0,0,1,0,32,21.9,17:23,20.5,31.0
52,Martin Hanzal,PHX,C,16,5,9,14,-5,23,1,0,1,0,42,11.9,19:33,25.2,50.3
53,Mathieu Perreault,ANA,C,18,5,9,14,+10,6,0,0,1,1,32,15.6,14:09,18.8,55.0
54,David Legwand,NSH,C,17,4,10,14,-4,6,2,0,1,0,22,18.2,16:16,20.9,50.6
55,Alex Galchenyuk,MTL,C,18,3,11,14,+0,8,0,0,0,0,37,8.1,15:38,22.6,25.0
56,Keith Yandle,PHX,D,18,1,13,14,-5,8,1,0,0,0,40,2.5,22:44,26.8,0.0
57,James van Riemsdyk,TOR,L,15,7,6,13,+7,16,2,1,0,0,43,16.3,20:34,26.9,43.6
58,Tomas Plekanec,MTL,C,18,6,7,13,+4,8,3,1,3,0,48,12.5,18:43,26.7,48.4
59,Paul Stastny,COL,C,16,6,7,13,+11,10,1,0,2,1,28,21.4,18:35,23.4,53.7
60,Radim Vrbata,PHX,R,17,6,7,13,-7,8,2,0,1,0,64,9.4,17:29,22.4,27.3
61,Gabriel Landeskog,COL,L,15,6,7,13,+7,17,1,0,1,0,50,12.0,17:31,22.0,66.7
62,Cody Hodgson,BUF,C,19,5,8,13,-6,4,3,0,0,0,44,11.4,18:52,21.2,42.3
63,Ryan Nugent-Hopkins,EDM,C,17,5,8,13,-12,0,2,0,1,0,41,12.2,21:01,26.6,41.1
64,Jaromir Jagr,NJD,R,17,5,8,13,+5,6,0,0,2,0,34,14.7,17:58,22.1,0.0
65,Nazem Kadri,TOR,C,17,5,8,13,-1,14,2,0,1,0,28,17.9,17:11,23.5,44.3
66,Tommy Wingels,SJS,C,17,5,8,13,+10,12,0,1,2,0,36,13.9,15:21,22.5,50.0
67,Derek Stepan,NYR,C,17,4,9,13,-4,2,1,0,1,0,45,8.9,18:42,24.3,44.5
68,Brandon Dubinsky,CBJ,C,16,4,9,13,+2,34,2,1,1,0,40,10.0,19:32,22.3,54.3
69,Oliver Ekman-Larsson,PHX,D,18,3,10,13,+8,8,2,0,2,0,44,6.8,25:51,29.5,0.0
70,Daniel Alfredsson,DET,R,18,3,10,13,+2,6,1,0,0,0,36,8.3,17:14,22.1,33.3
71,James Wisniewski,CBJ,D,16,2,11,13,-2,8,0,0,0,0,43,4.7,21:20,23.5,0.0
72,Duncan Keith,CHI,D,18,1,12,13,+3,2,1,0,1,0,51,2.0,24:21,29.2,0.0
73,Shane Doan,PHX,R,17,8,4,12,+0,8,5,0,1,0,54,14.8,19:37,24.2,33.3
74,Joel Ward,WSH,R,18,8,4,12,-3,10,3,0,1,0,27,29.6,16:13,21.6,45.8
75,Brendan Gallagher,MTL,R,18,8,4,12,+3,12,3,0,0,0,59,13.6,15:48,22.9,37.1
76,Joffrey Lupul,TOR,R,15,8,4,12,-3,11,2,0,0,0,56,14.3,18:05,24.1,42.8
77,Lars Eller,MTL,C,18,6,6,12,+2,14,1,1,2,0,37,16.2,18:01,24.9,52.2
78,Valtteri Filppula,TBL,C,17,6,6,12,+2,6,1,0,0,0,24,25.0,19:03,23.7,53.3
79,Justin Williams,LAK,R,17,6,6,12,+2,12,3,0,0,0,54,11.1,17:32,22.9,0.0
80,PA Parenteau,COL,R,16,6,6,12,+5,8,0,0,1,0,27,22.2,16:56,20.9,25.0
81,Mike Santorelli,VAN,C,20,5,7,12,+2,6,0,0,2,2,35,14.3,19:21,25.2,56.7
82,Thomas Vanek,"BUF, NYI",L,19,5,7,12,-2,8,1,0,0,0,67,7.5,18:25,20.3,40.0
83,Jason Chimera,WSH,L,18,5,7,12,+0,12,0,0,0,0,29,17.2,15:12,20.4,55.6
84,Taylor Hall,EDM,L,12,5,7,12,-8,6,1,0,0,0,45,11.1,21:27,27.2,48.8
85,Alex Pietrangelo,STL,D,15,4,8,12,+7,0,2,0,0,0,29,13.8,25:57,32.5,0.0
86,David Perron,EDM,L,15,4,8,12,-3,18,2,0,0,0,55,7.3,20:04,26.5,16.7
87,Alex Killorn,TBL,C,17,4,8,12,+6,6,1,0,1,1,36,11.1,17:21,22.5,14.3
88,Tomas Fleischmann,FLA,L,17,3,9,12,-4,6,1,0,0,0,47,6.4,17:49,23.2,50.0
89,Clarke MacArthur,OTT,L,16,3,9,12,+13,16,1,0,2,0,37,8.1,18:29,24.2,75.0
90,Dustin Penner,ANA,L,12,3,9,12,+18,2,0,0,0,0,26,11.5,13:30,18.8,41.7
91,Mikko Koivu,MIN,C,18,2,10,12,+3,10,0,0,0,0,44,4.5,20:37,25.9,57.0
92,Mark Arcobello,EDM,C,19,2,10,12,-2,4,1,0,1,1,42,4.8,17:07,24.6,52.5
93,T.J. Oshie,STL,R,15,2,10,12,+10,8,0,0,2,0,23,8.7,19:55,26.7,100.0
94,Mikael Granlund,MIN,C,18,2,10,12,+5,8,0,0,1,0,24,8.3,15:58,21.1,46.6
95,Dustin Byfuglien,WPG,D,19,1,11,12,-6,28,0,0,0,0,64,1.6,26:20,28.5,0.0
96,Kevin Shattenkirk,STL,D,15,1,11,12,+3,8,0,0,1,0,31,3.2,19:19,24.5,0.0
97,Jussi Jokinen,PIT,L,17,8,3,11,-5,4,3,0,2,0,42,19.0,15:15,19.5,41.2
98,Sean Monahan,CGY,C,17,7,4,11,-6,0,2,0,1,0,36,19.4,15:36,21.4,42.9
99,Ryan O'Reilly,COL,C,16,6,5,11,+6,0,1,0,1,0,55,10.9,20:14,25.5,50.0
100,Torey Krug,BOS,D,17,6,5,11,+4,8,3,0,0,0,38,15.8,17:43,21.9,0.0
101,Mike Ribeiro,PHX,C,18,5,6,11,-1,8,1,0,1,0,34,14.7,19:14,22.6,45.4
102,Blake Wheeler,WPG,R,19,5,6,11,-4,8,2,0,0,0,51,9.8,17:53,22.9,28.6
103,Mason Raymond,TOR,L,17,5,6,11,+2,2,1,0,2,0,43,11.6,19:08,25.7,28.6
104,Alex Chiasson,DAL,R,17,5,6,11,-5,15,1,0,2,0,51,9.8,17:26,24.3,42.3
105,Nick Bonino,ANA,C,19,5,6,11,+4,6,1,0,1,0,37,13.5,15:32,20.9,52.6
106,Ryan Johansen,CBJ,C,16,5,6,11,-3,10,0,0,0,0,39,12.8,17:45,22.3,53.6
107,Marian Gaborik,CBJ,R,15,5,6,11,+1,6,0,0,0,0,37,13.5,17:26,20.2,0.0
108,Jarome Iginla,BOS,R,17,4,7,11,+11,23,0,0,0,0,50,8.0,18:40,21.3,33.3
109,Andrew Shaw,CHI,C,18,4,7,11,+6,8,2,0,1,0,35,11.4,15:52,20.5,44.3
110,Marc-Edouard Vlasic,SJS,D,17,3,8,11,+11,6,0,1,0,0,25,12.0,20:34,27.0,0.0
111,Mikkel Boedker,PHX,L,18,3,8,11,-1,12,1,0,0,0,23,13.0,16:39,22.9,0.0
112,Marek Zidlicky,NJD,D,17,2,9,11,-3,16,2,0,0,0,25,8.0,22:33,28.3,0.0
113,Pascal Dupuis,PIT,L,17,2,9,11,+5,2,0,0,0,0,47,4.3,18:39,22.7,50.0
114,Reilly Smith,BOS,R,17,2,9,11,+6,10,0,0,1,0,22,9.1,13:54,19.0,0.0
115,Ryan Suter,MIN,D,18,0,11,11,+2,10,0,0,0,0,36,0.0,29:22,31.9,0.0
116,Mike Cammalleri,CGY,C,10,7,3,10,+0,4,1,0,1,0,27,25.9,19:59,25.3,35.0
117,Chris Higgins,VAN,L,20,6,4,10,-2,8,0,0,2,0,69,8.7,19:20,25.9,22.2
118,Evander Kane,WPG,L,17,6,4,10,+1,23,0,0,1,0,72,8.3,21:29,26.1,40.0
119,Dave Bolland,TOR,C,15,6,4,10,+4,18,1,1,2,1,27,22.2,16:15,23.9,41.3
120,Antoine Vermette,PHX,C,18,5,5,10,+8,14,0,0,0,0,36,13.9,19:15,27.2,58.8
121,Brad Richardson,VAN,R,20,5,5,10,+5,4,0,2,1,1,18,27.8,13:33,20.1,53.6
122,Teddy Purcell,TBL,R,17,5,5,10,+0,2,3,0,2,1,39,12.8,15:22,19.5,0.0
123,Ryan McDonagh,NYR,D,17,4,6,10,-1,4,1,1,0,0,25,16.0,22:35,28.1,0.0
124,Brandon Saad,CHI,L,18,4,6,10,+6,6,1,0,0,0,32,12.5,17:05,22.6,57.1
125,Michael Frolik,WPG,R,19,4,6,10,+0,2,0,0,1,0,45,8.9,14:53,19.9,81.8
126,Patric Hornqvist,NSH,R,17,4,6,10,+0,10,1,0,2,0,48,8.3,16:24,21.2,0.0
127,Derek Morris,PHX,D,14,4,6,10,+2,4,0,0,0,0,18,22.2,18:52,26.9,0.0
128,Milan Michalek,OTT,L,17,3,7,10,-6,6,0,0,0,0,33,9.1,18:18,25.2,33.3
129,Nino Niederreiter,MIN,R,18,3,7,10,+5,14,1,0,0,0,37,8.1,14:14,19.6,66.7
130,Andrei Markov,MTL,D,18,2,8,10,+5,8,1,1,0,0,34,5.9,25:07,29.4,0.0
131,Nathan MacKinnon,COL,C,16,2,8,10,+6,6,1,0,1,0,36,5.6,14:44,19.1,37.0
132,Dennis Wideman,CGY,D,17,1,9,10,+1,4,1,0,0,0,47,2.1,27:33,32.2,0.0
133,Brent Seabrook,CHI,D,18,1,9,10,+4,4,1,0,0,0,34,2.9,22:06,29.4,0.0
134,Niklas Kronwall,DET,D,16,1,9,10,+9,14,1,0,0,0,21,4.8,22:53,29.9,0.0
135,Mike Green,WSH,D,18,0,10,10,-4,18,0,0,0,0,49,0.0,24:23,23.3,0.0
136,Jay Bouwmeester,STL,D,15,0,10,10,+9,2,0,0,0,0,32,0.0,24:49,31.9,0.0
137,Cody Franson,TOR,D,17,0,10,10,-2,6,0,0,0,0,25,0.0,21:12,29.2,0.0
138,Patrice Bergeron,BOS,C,17,6,3,9,+4,10,1,1,2,0,53,11.3,18:16,25.2,58.5
139,Cody Eakin,DAL,C,17,5,4,9,-2,6,2,0,0,0,30,16.7,17:53,23.9,50.2
